Query Number,R-Precision No Stemmer - R-Precision Stemmer
1,0.09999999999999998
2,0.0
3,-0.10000000000000003
4,-0.2
5,-0.09999999999999998
6,0.0
7,0.0
8,0.0
9,-0.1
10,0.0
11,0.0
12,0.0
13,0.0
14,-0.1
15,0.0
16,0.2
17,0.1
18,0.0
19,0.0
20,0.0
21,-0.10000000000000003
22,0.0
23,0.0
24,0.0
25,-0.10000000000000003
26,0.19999999999999998
27,0.0
28,-0.10000000000000003
29,-0.19999999999999998
30,0.0
31,-0.10000000000000003
32,0.0
33,-0.09999999999999998
34,0.0
35,-0.19999999999999998
36,0.0
37,0.09999999999999998
38,-0.30000000000000004
39,-0.10000000000000003
40,-0.1
41,-0.09999999999999998
42,0.0
43,0.0
44,0.09999999999999998
45,-0.1
46,0.0
47,-0.1
48,-0.1
49,-0.3
50,0.09999999999999998
51,-0.3
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.09999999999999998
58,0.0
59,-0.09999999999999998
60,0.0
61,0.0
62,0.0
63,-0.1
64,-0.09999999999999998
65,0.0
66,0.19999999999999998
67,0.0
68,-0.1
69,-0.10000000000000003
70,-0.10000000000000003
71,-0.09999999999999998
72,0.0
73,0.0
74,0.19999999999999998
75,0.0
76,0.09999999999999998
77,0.0
78,0.0
79,-0.19999999999999998
80,-0.2
81,-0.09999999999999998
82,-0.19999999999999998
83,0.0
84,0.0
85,-0.2
86,0.0
87,0.1
88,0.0
89,0.09999999999999998
90,0.0
91,0.2
92,-0.09999999999999998
94,-0.1
95,0.1
96,0.1
97,-0.2
98,0.0
99,0.0
100,0.0
